DrugCode|Name|Formulation|Strength|Count|L1Rate|L1Lab
MED1114|ACUVUE Theravision with Ketotifen|Tablet|100mg|52|648.15|MED1114
MED1115|Acyclovir|Tablet|100mg|54|870.36|MED1115
MED1116|Acyclovir|Suspension|100mg|93|412.58|MED1116
MED1117|Acyclovir and Hydrocortisone Cream|Cream|100mg|24|381.61|MED1117
MED1118|Acyclovir Buccal Tablets|Tablet|100mg|42|268.61|MED1118
MED1119|Acyclovir Cream, 5%|Cream|100mg|19|498.98|MED1119
MED1120|Acyclovir for Injection|Injection|100mg|90|897.60|MED1120
MED1121|Acyclovir Ointment|Ointment|100mg|71|927.16|MED1121
MED1122|Acyclovir Ophthalmic Ointment|Ointment|100mg|38|773.36|MED1122
MED1123|Aczone Gel|Tablet|100mg|28|620.16|MED1123
MED1124|Adacel|Tablet|100mg|95|753.00|MED1124
MED1125|Adagen|Tablet|100mg|17|699.21|MED1125
MED1126|Adagrasib Tablets|Tablet|100mg|23|969.39|MED1126
MED1127|Adakveo|Injection|100mg|50|294.80|MED1127
MED1128|Adalat CC|Tablet|100mg|29|228.19|MED1128
MED1129|Adalat XL|Tablet|100mg|89|663.49|MED1129
MED1130|Adalimumab Injection Solution for Subcutaneous Administration|Injection|100mg|12|237.28|MED1130
MED1131|Adalimumab-aacf Injection|Injection|100mg|58|633.79|MED1131
MED1132|Adalimumab-aaty Injection|Injection|100mg|32|608.60|MED1132
MED1133|Adalimumab-ADBM Injection, for Subcutaneous Use|Injection|100mg|28|415.01|MED1133
MED1134|Adalimumab-afzb Injection, for Subcutaneous Use|Injection|100mg|25|619.68|MED1134
MED1135|Adalimumab-aqvh Injection|Injection|100mg|86|650.48|MED1135
MED1136|adalimumab-atto|Tablet|100mg|28|349.70|MED1136
MED1137|Adalimumab-bwwd Injection|Injection|100mg|71|540.61|MED1137
MED1138|Adalimumab-fkjp njection|Tablet|100mg|13|295.65|MED1138
MED1139|Adalimumab-ryvk Injection, for Subcutaneous Use|Injection|100mg|40|181.58|MED1139
MED1140|Adalimumab-xxxx Injection, for Subcutaneous Use|Injection|100mg|70|353.47|MED1140
MED1141|ADAMTS13, Recombinant-krhn for Injection|Injection|100mg|61|346.47|MED1141
MED1142|Adapalene|Tablet|100mg|14|360.27|MED1142
MED1143|Adapalene and Benzoyl Peroxide Gel|Tablet|100mg|58|127.19|MED1143
MED1144|Adapalene and Benzoyl Peroxide Gel 0.3%/2.5%|Tablet|100mg|66|106.90|MED1144
MED1145|Adapalene Cream|Cream|100mg|48|672.73|MED1145
MED1146|Adapalene Gel|Tablet|100mg|32|466.18|MED1146
MED1147|Adapalene Lotion .1%|Lotion|100mg|47|810.44|MED1147
MED1148|Adapalene, Benzoyl Peroxide, Clindamycin Topical Gel|Tablet|100mg|66|668.76|MED1148
MED1149|Adasuve|Powder|100mg|73|213.88|MED1149
MED1150|Adbry|Injection|100mg|46|320.55|MED1150
MED1151|Adcetris|Tablet|100mg|95|813.68|MED1151
MED1152|Adcirca|Tablet|100mg|12|636.41|MED1152
MED1153|Adderall|Tablet|100mg|64|127.33|MED1153
MED1154|Adderall XR|Tablet|100mg|39|709.48|MED1154
MED1155|Addyi|Tablet|100mg|82|836.04|MED1155
MED1156|Adefovir Dipivoxil|Tablet|100mg|17|848.54|MED1156
MED1157|Adempas|Tablet|100mg|43|673.07|MED1157
MED1158|Adenocard I.V.|Tablet|100mg|55|453.39|MED1158
MED1159|Adenoscan|Injection|100mg|55|263.91|MED1159
MED1160|Adenosine|Tablet|100mg|50|692.29|MED1160
MED1161|Adenosine Injection|Injection|100mg|87|648.03|MED1161
MED1162|Adenovirus|Tablet|100mg|54|915.19|MED1162
MED1163|Adenovirus Type 4 and Type 7 Vaccine, Live, Oral Enteric Coated Tablets for Oral Administration|Tablet|100mg|23|840.09|MED1163
MED1164|Adhansia XR|Capsule|100mg|30|616.65|MED1164
MED1165|Adipex-P|Tablet|100mg|95|397.44|MED1165
MED1166|Adlarity|Tablet|100mg|34|502.08|MED1166
MED1167|Adlyxin|Injection|100mg|60|821.30|MED1167
MED1168|Admelog|Injection|100mg|84|994.36|MED1168
MED1169|Ado-trastuzumab Emtansine Injection for IV Use|Injection|100mg|19|340.85|MED1169
MED1170|Adoxa|Capsule|100mg|96|229.11|MED1170
MED1171|Adrenaclick|Injection|100mg|69|911.91|MED1171
MED1172|Adrenalin|Tablet|100mg|40|542.23|MED1172
MED1173|AdreView|Injection|100mg|24|104.40|MED1173
MED1174|Adriamycin PFS|Tablet|100mg|41|997.53|MED1174
MED1175|Adrucil|Injection|100mg|50|596.98|MED1175
MED1176|Adstiladrin|Suspension|100mg|91|420.37|MED1176
MED1177|Adthyza|Tablet|100mg|45|227.18|MED1177
MED1178|Aducanumab|Tablet|100mg|62|517.76|MED1178
MED1179|Aduhelm|Tablet|100mg|22|226.38|MED1179
MED1180|Advair Diskus|Tablet|100mg|14|760.07|MED1180
MED1181|Advair HFA|Tablet|100mg|44|257.84|MED1181
MED1182|Advate|Injection|100mg|50|855.63|MED1182
MED1183|Advicor|Tablet|100mg|87|788.55|MED1183
MED1184|Adynovate|Injection|100mg|17|752.44|MED1184
MED1185|Adzenys ER|Suspension|100mg|94|349.06|MED1185
MED1186|Adzenys XR-ODT|Tablet|100mg|46|790.51|MED1186
MED1187|Adzynma|Injection|100mg|78|286.30|MED1187
MED1188|Aemcolo|Tablet|100mg|45|221.86|MED1188
MED1189|Aerobid, Aerobid M|Tablet|100mg|32|269.13|MED1189
MED1190|Aerospan HFA|Tablet|100mg|19|788.14|MED1190
MED1191|Afamelanotide Implant|Tablet|100mg|18|925.19|MED1191
MED1192|Afamitresgene Autoleucel Suspension, for Intravenous Infusion|Suspension|100mg|18|689.09|MED1192
MED1193|Afatinib Tablets, for Oral Use|Tablet|100mg|32|551.25|MED1193
MED1194|Afeditab CR|Tablet|100mg|65|393.18|MED1194
MED1195|Afinitor|Tablet|100mg|41|206.99|MED1195
MED1196|Afinitor Disperz|Tablet|100mg|59|911.31|MED1196
MED1197|Afirmelle|Tablet|100mg|63|414.62|MED1197
MED1198|Aflibercept|Tablet|100mg|10|110.13|MED1198
MED1199|Aflibercept Injection|Injection|100mg|86|381.79|MED1199
MED1200|Aflibercept-abzv Injection, for Intravitreal Use|Injection|100mg|14|916.33|MED1200
MED1201|Aflibercept-ayyh Injection, for Intravitreal Use|Injection|100mg|98|431.00|MED1201
MED1202|Aflibercept-jbvf Injection|Injection|100mg|23|894.13|MED1202
MED1203|Aflibercept-mrbb Injection|Injection|100mg|97|389.78|MED1203
MED1204|Aflibercept-yszy Injection|Injection|100mg|75|349.77|MED1204
MED1205|Afluria|Tablet|100mg|77|604.19|MED1205
MED1206|Afluria Quadrivalent 2016|Tablet|100mg|38|528.00|MED1206
MED1207|Afluria Quadrivalent 2020|Injection|100mg|22|285.99|MED1207
MED1208|Afrezza|Powder|100mg|36|432.57|MED1208
MED1209|Afstyla|Injection|100mg|79|576.11|MED1209
MED1210|Aftera|Tablet|100mg|73|758.80|MED1210
MED1212|Agalsidase Beta|Tablet|100mg|76|702.12|MED1212
MED1213|Agamree|Suspension|100mg|43|245.66|MED1213
MED1214|Agenerase Capsules|Capsule|100mg|64|996.03|MED1214
MED1215|Agenerase Oral Solution|Solution|100mg|41|596.72|MED1215
MED1216|Aggrastat|Tablet|100mg|83|863.44|MED1216
MED1217|Aggrenox|Capsule|100mg|94|722.11|MED1217
MED1218|Agriflu|Injection|100mg|71|638.58|MED1218
MED1219|Agrylin|Tablet|100mg|72|138.72|MED1219
MED1220|Ahzantive|Injection|100mg|12|765.82|MED1220
MED1221|Aimovig|Injection|100mg|77|957.26|MED1221
MED1222|Air polymer-type A Intrauterine Foam|Tablet|100mg|53|413.64|MED1222
MED1223|Airduo Digihaler|Powder|100mg|29|432.02|MED1223
MED1224|AirDuo RespiClick Inhalation Powder|Powder|100mg|87|519.11|MED1224
MED1225|Airsupra|Tablet|100mg|71|178.85|MED1225
MED1226|Ajovy|Injection|100mg|36|685.88|MED1226
MED1227|Ak-Fluor|Injection|100mg|95|214.95|MED1227
MED1228|AK-Pentolate|Solution|100mg|54|856.71|MED1228
MED1229|Akeega|Tablet|100mg|28|429.13|MED1229
MED1230|Akineton|Tablet|100mg|95|392.13|MED1230
MED1231|Aklief|Cream|100mg|95|478.55|MED1231
MED1232|Akovaz|Injection|100mg|44|198.11|MED1232
MED1233|Akten|Tablet|100mg|48|843.87|MED1233
MED1234|Aktipak|Tablet|100mg|48|949.91|MED1234
MED1235|Akynzeo|Capsule|100mg|73|246.70|MED1235
MED1236|Alamast|Solution|100mg|46|226.16|MED1236
MED1237|Albendazole|Tablet|100mg|23|211.41|MED1237
MED1238|Albenza|Tablet|100mg|70|159.63|MED1238
MED1239|Albiglutide Pen for Injection, for Subcutaneous Use|Injection|100mg|30|552.84|MED1239
MED1240|Albuked|Injection|100mg|90|410.31|MED1240
MED1241|Albumin|Tablet|100mg|31|889.89|MED1241
MED1242|Albumin|Solution|100mg|35|231.94|MED1242
MED1243|Albumin|Solution|100mg|38|182.14|MED1243
MED1244|Albumin|Solution|100mg|49|442.94|MED1244
MED1245|Albumin - Human Injection|Injection|100mg|15|611.60|MED1245
MED1246|Albumin - Human Injection|Injection|100mg|56|470.40|MED1246
MED1247|Albumin - Human Injection|Injection|100mg|55|118.95|MED1247
MED1248|Albumin - Human Solution for Injection|Injection|100mg|88|639.03|MED1248
MED1249|Albumin Human Solution for Injection|Injection|100mg|99|725.34|MED1249
MED1250|Albumin Human, USP, 25% Solution|Solution|100mg|70|284.73|MED1250
MED1251|Albumin-bound Paclitaxel for Injectable Suspension|Injection|100mg|89|108.21|MED1251
MED1252|Albuminar|Tablet|100mg|96|886.46|MED1252
MED1253|Albuminex|Injection|100mg|64|812.22|MED1253
MED1254|AlbuRx|Injection|100mg|29|850.25|MED1254
MED1255|Albutein|Injection|100mg|32|977.61|MED1255
MED1256|Albuterol and Budesonide Inhalation Aerosol, for Oral Inhalation|Tablet|100mg|69|878.97|MED1256
MED1257|Albuterol Inhalation|Tablet|100mg|84|398.68|MED1257
MED1258|Albuterol Sulfate|Solution|100mg|27|837.87|MED1258
MED1259|Albuterol Sulfate Extended-Release Tablets|Tablet|100mg|40|110.40|MED1259
MED1260|Albuterol Sulfate Inhalation Aerosol|Tablet|100mg|27|261.57|MED1260
MED1261|Albuterol Sulfate Inhalation Aerosol|Tablet|100mg|75|190.84|MED1261
MED1262|Albuterol Sulfate Inhalation Powder|Powder|100mg|83|652.65|MED1262
MED1263|Albuterol Sulfate Inhalation Powder|Powder|100mg|52|962.92|MED1263
MED1264|Albuterol Sulfate Inhalation Solution|Solution|100mg|17|321.24|MED1264
MED1265|Albuterol Sulfate Inhalation Solution|Solution|100mg|97|396.82|MED1265
MED1266|Albuterol Sulfate Inhalation Solution|Solution|100mg|73|117.32|MED1266
MED1267|Albuterol Sulfate Syrup|Syrup|100mg|38|927.58|MED1267
MED1268|Albuterol Sulfate Tablets|Tablet|100mg|45|220.39|MED1268
MED1269|Alcaftadine Ophthalmic Solution|Solution|100mg|16|881.71|MED1269
MED1270|Alcaine|Solution|100mg|16|577.35|MED1270
MED1271|Alclometasone Dipropionate Cream, Ointment|Cream|100mg|82|855.25|MED1271
MED1272|Aldactazide|Tablet|100mg|89|399.81|MED1272
MED1273|Aldactone|Tablet|100mg|11|206.43|MED1273
MED1274|Aldara|Tablet|100mg|77|709.05|MED1274
MED1275|Aldesleukin for Injection|Injection|100mg|12|705.89|MED1275
MED1276|Aldomet|Tablet|100mg|95|924.41|MED1276
MED1277|Aldoril|Tablet|100mg|34|352.22|MED1277
MED1278|Aldurazyme|Tablet|100mg|65|819.91|MED1278
MED1279|Alecensa|Capsule|100mg|70|620.49|MED1279
MED1280|Alectinib Capsules|Capsule|100mg|84|450.47|MED1280
MED1281|Alefacept|Tablet|100mg|70|606.92|MED1281
MED1282|Alemtuzumab|Tablet|100mg|24|285.30|MED1282
MED1283|Alemtuzumab Injection for Intravenous Infusion|Injection|100mg|73|753.01|MED1283
MED1284|Alendronate Sodium|Tablet|100mg|64|121.90|MED1284
MED1285|Alendronate Sodium and Cholecalciferol|Tablet|100mg|50|455.35|MED1285
MED1286|Alendronate Sodium Effervescent Tablets|Tablet|100mg|55|626.84|MED1286
MED1287|Alesse|Tablet|100mg|23|797.35|MED1287
MED1288|Alfenta|Injection|100mg|79|717.98|MED1288
MED1289|alfentanil|Injection|100mg|86|984.09|MED1289
MED1290|Alfentanil for Injection|Injection|100mg|66|570.07|MED1290
MED1291|Alfentanil Injection|Injection|100mg|93|124.85|MED1291
MED1292|Alfuzosin HCl|Tablet|100mg|62|563.32|MED1292
MED1293|Alglucerase Injection|Injection|100mg|53|930.74|MED1293
MED1294|Alglucosidase Alfa|Tablet|100mg|92|753.97|MED1294
MED1295|Alglucosidase Alfa|Tablet|100mg|43|885.37|MED1295
MED1296|Alimta|Tablet|100mg|70|410.25|MED1296
MED1297|Alimumab-adaz Injection|Injection|100mg|83|459.90|MED1297
MED1298|Alinia|Tablet|100mg|84|253.57|MED1298
MED1299|Aliqopa|Injection|100mg|82|688.31|MED1299
MED1300|Alirocumab for Solution for Subcutaneous Injection|Injection|100mg|23|221.23|MED1300
MED1301|Aliskiren and Amlodipine Tablets|Tablet|100mg|10|923.89|MED1301
MED1302|Aliskiren and Valsartan, USP Tablets|Tablet|100mg|29|396.65|MED1302
MED1303|Aliskiren Tablets|Tablet|100mg|29|330.36|MED1303
MED1304|Aliskiren, Amlodipine and Hydrochlorothiazide Tablets|Tablet|100mg|42|819.73|MED1304
MED1305|Aliskren and Hydrochlorothiazide Tablets|Tablet|100mg|82|945.00|MED1305
MED1306|Alitretinoin|Tablet|100mg|23|218.93|MED1306
MED1307|Alka-Seltzer|Tablet|100mg|22|371.17|MED1307
MED1308|Alkeran|Tablet|100mg|64|396.68|MED1308
MED1309|Alkeran Injection|Injection|100mg|50|820.51|MED1309
MED1310|Alkindi Sprinkle|Tablet|100mg|79|378.39|MED1310
MED1311|Allegra|Tablet|100mg|94|539.30|MED1311
MED1312|Allegra-D|Tablet|100mg|17|966.81|MED1312
MED1313|Allegra-D 24 Hour|Tablet|100mg|49|486.18|MED1313
MED1314|Allergenics Extracts Alum Precipitated Injection, Suspension|Injection|100mg|52|267.51|MED1314
MED1315|Allernaze|Tablet|100mg|36|712.11|MED1315
MED1316|Alli|Tablet|60 mg|29|153.34|MED1316
MED1317|Allocord|Injection|100mg|50|908.61|MED1317
MED1318|Allogeneic Cultured Keratinocytes and Fibroblasts|Tablet|100mg|40|109.65|MED1318
MED1319|Allogeneic Cultured Keratinocytes and Fibroblasts in Bovine Collagen Cellular Sheet for Topical Oral Application|Tablet|100mg|69|698.93|MED1319
MED1320|Allogeneic Processed Thymus Tissue-agdc|Tablet|100mg|22|441.26|MED1320
MED1321|Allopurinol|Tablet|100mg|94|347.88|MED1321
MED1322|Allopurinol Sodium for Injection|Injection|100mg|97|669.11|MED1322
MED1323|Allzital|Tablet|100mg|68|672.49|MED1323
MED1324|Almotriptan Malate|Tablet|100mg|63|306.64|MED1324
MED1325|Alocril|Tablet|100mg|83|501.13|MED1325
MED1326|Alogliptin and Metformin HCl Tablets|Tablet|100mg|44|462.49|MED1326
MED1327|Alogliptin and Pioglitazone Tablets|Tablet|100mg|29|152.94|MED1327
MED1328|Alogliptin Tablets|Tablet|100mg|66|280.92|MED1328
MED1329|Alomide|Tablet|100mg|99|382.64|MED1329
MED1330|Aloprim|Injection|100mg|35|561.52|MED1330
MED1331|Alora|Tablet|100mg|85|469.58|MED1331
MED1332|Alosetron Hydrochloride|Tablet|100mg|72|682.02|MED1332
MED1333|alosetron hydrochloride|Tablet|100mg|27|694.33|MED1333
MED1334|Alosetron Hydrochloride Tablets|Tablet|100mg|77|634.53|MED1334
MED1335|Aloxi|Tablet|100mg|14|704.07|MED1335
MED1336|Aloxi Capsules|Capsule|100mg|29|630.10|MED1336
MED1337|Alpelisib Tablets|Tablet|100mg|16|929.12|MED1337
MED1338|Alpelisib Tablets|Tablet|100mg|55|690.48|MED1338
MED1339|Alpha 1 Proteinase Inhibitor|Tablet|100mg|33|495.64|MED1339
MED1340|Alpha-Proteinase Inhibitor|Tablet|100mg|33|606.24|MED1340
MED1341|Alpha1-Proteinase Inhibitor|Tablet|100mg|32|654.45|MED1341
MED1342|Alphagan-P|Tablet|100mg|84|185.95|MED1342
MED1343|Alphanate|Tablet|100mg|43|389.22|MED1343
MED1344|Alprazolam|Tablet|100mg|90|241.00|MED1344
MED1345|Alprazolam|Tablet|100mg|19|336.49|MED1345
MED1346|Alprazolam|Tablet|100mg|26|612.83|MED1346
MED1347|Alprolix|Injection|100mg|82|980.99|MED1347
MED1348|Alprostadil|Tablet|100mg|59|832.45|MED1348
MED1349|Alprostadil Dual Chamber System for Injection|Injection|100mg|70|980.73|MED1349
MED1350|Alprostadil for Injection|Injection|100mg|88|305.32|MED1350
MED1351|Alprostadil Injection|Injection|100mg|40|367.91|MED1351
MED1352|Alprostadil Sterile Powder for Injection|Powder|100mg|21|641.36|MED1352
MED1353|Alprostadil Urethral Suppository|Tablet|100mg|92|858.89|MED1353
MED1354|Alrex|Suspension|100mg|23|842.14|MED1354
MED1355|Alsuma|Injection|100mg|14|823.78|MED1355
MED1356|Altabax|Tablet|100mg|44|109.17|MED1356
MED1357|Altace|Tablet|100mg|90|929.03|MED1357
MED1358|Altace Capsules|Capsule|100mg|19|132.18|MED1358
MED1359|Altafluor|Solution|100mg|62|176.06|MED1359
MED1360|Altavera|Tablet|100mg|61|623.21|MED1360
MED1361|Alteplase|Tablet|100mg|55|366.09|MED1361
MED1362|Alteplase Powder for Reconstitution for Use in Central Venous Access Devices|Powder|100mg|91|709.02|MED1362
MED1363|Altocor|Tablet|100mg|76|864.89|MED1363
MED1364|Altoprev|Tablet|100mg|18|537.58|MED1364
MED1365|Altreno|Lotion|100mg|95|758.62|MED1365
MED1366|Altretamine|Tablet|100mg|75|579.43|MED1366
MED1367|Altuviiio|Tablet|100mg|90|848.81|MED1367
MED1368|Alunbrig|Tablet|100mg|15|476.90|MED1368
MED1369|Alupent|Tablet|100mg|92|891.18|MED1369
MED1370|Alvaiz|Tablet|100mg|42|977.82|MED1370
MED1371|Alvesco|Tablet|100mg|39|684.73|MED1371
MED1372|Alvimopan Capsules|Capsule|100mg|87|660.81|MED1372
MED1373|Alyglo|Tablet|100mg|34|277.50|MED1373
MED1374|Alymsys|Injection|100mg|43|652.25|MED1374
MED1375|Alyq|Tablet|100mg|48|656.64|MED1375
MED1376|Amabelz|Tablet|100mg|57|913.38|MED1376
MED1377|Amantadine|Tablet|100mg|21|662.06|MED1377
MED1378|Amantadine Extended Release Capsules, for Oral Use|Capsule|100mg|30|295.72|MED1378
MED1379|Amantadine Hydrochloride|Tablet|100mg|81|935.19|MED1379
MED1380|Amaryl Tablets|Tablet|100mg|94|191.39|MED1380
MED1381|Ambenoium Chloride|Tablet|100mg|71|101.51|MED1381
MED1382|Ambien|Tablet|100mg|42|354.61|MED1382
MED1383|Ambien CR|Tablet|100mg|34|955.59|MED1383
MED1384|Ambisome|Tablet|100mg|46|563.41|MED1384
MED1385|Ambrisentan Tablets|Tablet|100mg|50|426.22|MED1385
MED1386|Amcinonide Cream|Cream|100mg|50|151.74|MED1386
MED1387|Amcinonide Cream, Ointment|Cream|100mg|44|284.01|MED1387
MED1388|Amcinonide Lotion|Lotion|100mg|76|207.90|MED1388
MED1389|Amcinonide Topical|Ointment|100mg|77|909.38|MED1389
MED1390|Ameluz|Tablet|100mg|56|371.59|MED1390
MED1391|Amerge|Tablet|100mg|50|724.80|MED1391
MED1392|Americaine|Tablet|100mg|32|325.74|MED1392
MED1393|Amethia|Tablet|100mg|40|253.28|MED1393
MED1394|Amevive|Tablet|100mg|91|233.42|MED1394
MED1395|Amicar|Tablet|100mg|54|502.65|MED1395
MED1396|Amidate|Injection|100mg|43|848.15|MED1396
MED1397|Amifampridine Tablets|Tablet|100mg|53|991.60|MED1397
MED1398|Amifampridine Tablets|Tablet|100mg|45|782.24|MED1398
MED1399|Amifostine|Tablet|100mg|78|616.58|MED1399
